,DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
3680,218,H6,HPB,"Hooper Bay, AK",ANI,"Aniak, AK"
3681,218,8E,WLK,"Selawik, AK",PHO,"Point Hope, AK"
3682,218,8E,UNK,"Unalakleet, AK",BET,"Bethel, AK"
3683,218,09Q,AGS,"Augusta, GA",CHA,"Chattanooga, TN"
3684,218,09Q,ENV,"Wendover, UT",IDA,"Idaho Falls, ID"
3685,218,09Q,IDA,"Idaho Falls, ID",ENV,"Wendover, UT"
3686,218,8E,PHO,"Point Hope, AK",WLK,"Selawik, AK"
3687,218,LF,SBA,"Santa Barbara, CA",TRM,"Thermal, CA"
3688,219,OO,JAN,"Jackson/Vicksburg, MS",SHV,"Shreveport, LA"
3689,219,OO,RAP,"Rapid City, SD",BIS,"Bismarck/Mandan, ND"
3690,219,H6,GAL,"Galena, AK",OTZ,"Kotzebue, AK"
3691,219,LF,GNV,"Gainesville, FL",RSW,"Fort Myers, FL"
3692,219,YV,BIS,"Bismarck/Mandan, ND",RAP,"Rapid City, SD"
3693,219,09Q,FAR,"Fargo, ND",DLH,"Duluth, MN"
3694,219,09Q,PIT,"Pittsburgh, PA",ROA,"Roanoke, VA"
3695,219,GV,KPV,"Perryville, AK",DLG,"Dillingham, AK"
3696,219,OO,EKO,"Elko, NV",PIH,"Pocatello, ID"
3697,219,5V,OTZ,"Kotzebue, AK",GAL,"Galena, AK"
3698,219,LF,SHV,"Shreveport, LA",JAN,"Jackson/Vicksburg, MS"
3699,220,5X,CID,"Cedar Rapids/Iowa City, IA",OMA,"Omaha, NE"
3700,220,OO,MSP,"Minneapolis, MN",CID,"Cedar Rapids/Iowa City, IA"
3701,220,OO,CID,"Cedar Rapids/Iowa City, IA",MSP,"Minneapolis, MN"
3702,220,YV,LGB,"Long Beach, CA",YUM,"Yuma, AZ"
3703,220,7H,MCG,"McGrath, AK",ANC,"Anchorage, AK"
3704,220,7H,ANC,"Anchorage, AK",MCG,"McGrath, AK"
3705,220,8E,SHH,"Shishmaref, AK",SVA,"Savoonga, AK"
3706,220,8E,SVA,"Savoonga, AK",SHH,"Shishmaref, AK"
3707,220,OO,BFF,"Scottsbluff, NE",COS,"Colorado Springs, CO"
3708,220,DL,SVN,"Savannah, GA",NC1,"Gastonia, NC"
3709,220,WN,BWI,"Baltimore, MD",ISP,"Islip, NY"
3710,220,WN,ISP,"Islip, NY",BWI,"Baltimore, MD"
3711,220,YV,OMA,"Omaha, NE",CID,"Cedar Rapids/Iowa City, IA"
3712,220,09Q,CID,"Cedar Rapids/Iowa City, IA",CMI,"Champaign/Urbana, IL"
3713,220,09Q,CMI,"Champaign/Urbana, IL",CID,"Cedar Rapids/Iowa City, IA"
3714,220,DL,JAX,"Jacksonville, FL",SRQ,"Sarasota/Bradenton, FL"
3715,220,04Q,UBF,"Chatham, MA",TEB,"Teterboro, NJ"
3716,221,EV,CLE,"Cleveland, OH",CVG,"Cincinnati, OH"
3717,221,OO,SLC,"Salt Lake City, UT",CDC,"Cedar City, UT"
3718,221,OO,CDC,"Cedar City, UT",SLC,"Salt Lake City, UT"
3719,221,PT,ROA,"Roanoke, VA",BWI,"Baltimore, MD"
3720,221,OH,CRW,"Charleston/Dunbar, WV",CLT,"Charlotte, NC"
3721,221,OH,EWN,"New Bern/Morehead/Beaufort, NC",CLT,"Charlotte, NC"
3722,221,OH,CLT,"Charlotte, NC",CRW,"Charleston/Dunbar, WV"
3723,221,OH,CLT,"Charlotte, NC",EWN,"New Bern/Morehead/Beaufort, NC"
3724,221,1WQ,BKL,"Cleveland, OH",LUK,"Cincinnati, OH"
3725,221,1WQ,LUK,"Cincinnati, OH",BKL,"Cleveland, OH"
3726,221,09Q,CMI,"Champaign/Urbana, IL",MSN,"Madison, WI"
3727,221,09Q,MSN,"Madison, WI",CMI,"Champaign/Urbana, IL"
3728,221,09Q,PDX,"Portland, OR",BLI,"Bellingham, WA"
3729,221,DL,GSO,"Greensboro/High Point, NC",CHS,"Charleston, SC"
3730,221,DL,ATL,"Atlanta, GA",SVN,"Savannah, GA"
3731,221,OH,CVG,"Cincinnati, OH",CLE,"Cleveland, OH"
3732,221,OH,TYS,"Knoxville, TN",CRW,"Charleston/Dunbar, WV"
3733,221,FX,JAC,"Jackson, WY",CPR,"Casper, WY"
3734,221,4B,DEN,"Denver, CO",CDR,"Chadron, NE"
3735,221,4B,CDR,"Chadron, NE",DEN,"Denver, CO"
3736,221,04Q,LCI,"Laconia, NH",FRG,"East Farmingdale, NY"
3737,221,04Q,FRG,"East Farmingdale, NY",LCI,"Laconia, NH"
3738,221,AN,IFP,"Bullhead City, AZ",CGZ,"Casa Grande, AZ"
3739,221,U7,LUK,"Cincinnati, OH",YIP,"Detroit, MI"
3740,222,8E,IAN,"Kiana, AK",OME,"Nome, AK"
3741,222,EM,PDX,"Portland, OR",MFR,"Medford, OR"
3742,222,EM,MFR,"Medford, OR",PDX,"Portland, OR"
3743,222,OO,SLC,"Salt Lake City, UT",SUN,"Sun Valley/Hailey/Ketchum, ID"
3744,222,OO,SUN,"Sun Valley/Hailey/Ketchum, ID",SLC,"Salt Lake City, UT"
3745,222,OO,ORD,"Chicago, IL",MBS,"Saginaw/Bay City/Midland, MI"
3746,222,OO,MBS,"Saginaw/Bay City/Midland, MI",ORD,"Chicago, IL"
